Drug Name,SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fm_in_vitro,fu_in_vitro,Clearance,CYP450_Enzyme
lormetazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl,335.1888,,,,,,,,225.0,
terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,471.681,7.1,13.2,96.3,,,,,5.48,
azlocillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C,461.497,,,,,0.17,,,15.45,
ciprofibrate,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,289.1566,,,,,0.99,,,,
idrocilamide,C1=CC=C(C=C1)/C=C/C(=O)NCCO,191.229,0.9,,,,0.9640000000000001,,,,
primaquine,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,259.351,,,,,,,,9.24,
proguanil,CC(C)N=C(N)/N=C(\N)/NC1=CC=C(C=C1)Cl,253.735,,,,,0.75,,,1.2,
decitabine,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,228.21,,,3.3,,0.01,,,125.0,CYP450_3a4_substrate
hexobarbital,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,236.2694,,,,,,,,164.0,
atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.34,,9.0,10.0,1.0,0.05,,,,CYP450_3a4_substrate
netilmicin,CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N,475.5829,,,,,,,,38.57,
minocycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,457.48,,,,,0.76,,,0.65,
nitrazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,281.2699,,,,,0.067,,,30.965,
antipyrine (phenazone),CC1=CC(=O)N(N1C)C2=CC=CC=C2,188.229,,,,,,,,39.75,
atropine,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,289.373,,,,,0.18,,,6.0,
moxonidine,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,241.6808,,,,,0.07,,,11.0,
enalapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,376.45,,,,,0.55,,,3.2,CYP450_3a4_inhibitor
lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,234.341,2.44,8.01,,,,,,5.8,
practolol,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O,266.339,,,,,,,,70.5,
xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,150.129,,,,,,,,543.0,
clindamycin,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl,424.987,,,,,0.469,,,3.0,
progesterone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,314.5,,,,,0.97,,,,
levothyroxine (thyroxine),C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,776.855,,2.2,,,,,,,
cicletanine,CC1=NC=C2C(OCC2=C1O)C3=CC=C(C=C3)Cl,261.7068,,,,,0.46,,,2.6,
roxatidine,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC(=O)CO,306.403,,,,,0.04850000000000001,,,229.5,
viloxazine,CCOC1=CC=CC=C1OCC2CNCCO2,237.297,,,78.0,5.04,0.79,,,73.85,CYP450_3a4_inhibitor
tamoxifen,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,371.5,7.1,9.24,0.00102,,0.98,,,1.4,CYP450_3a4_substrate
indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,357.791,,,,,0.9,,,0.7999999999999999,
azacitidine,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,244.206,,,,,,,,152.0,
ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,204.312,,,,,0.18,,,4.7,
zopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,388.8133,,,,,0.555,,,21.0,CYP450_3a4_substrate
prednisolone,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,360.4,,,,,0.925,,,0.58,
zolpidem,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,307.395,,,,,0.92,,,2.6,CYP450_3a4_substrate
fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,306.275,,,,,0.115,,,0.17,
sulbactam,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,233.2429,,,,,0.38,,,254.0,
tranylcypromine,C1[C@H]([C@@H]1N)C2=CC=CC=C2,133.193,,,,,,,,410.5,
bevantolol,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,345.436,,,,,0.95,,,9.0,
metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,365.839,,,,,,,,7503.9,
alfentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,416.523,,,,,,,,4.55,
misoprostol acid,CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,368.51,,,,,0.85,,,170.0,
ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,554.5872,,,,,0.925,,,0.87,
sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,,,,,,0.463,,,0.17,
pirenzepine,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,351.4079,,,,,0.14,,,255.0,
carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.273,,,,,0.385,,,0.9,CYP450_3a4_substrate
stiripentol,CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O,234.29,,,,,0.99,,,4.125,CYP450_3a4_substrate
nicotine,CN1CCC[C@H]1C2=CN=CC=C2,162.2346,,,,,0.0385,,,11.95,
bezafibrate,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,361.823,,,,,0.95,,,,
ticarcillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CSC=C3)C(=O)O)C(=O)O)C,384.431,,,,,0.45,,,62.1,
clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,300.7437,,,1.0,,0.85,0.181,,2.2199999999999998,CYP450_3a4_substrate
amdinocillin (mecillinam),CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N=CN3CCCCCC3)C(=O)O)C,325.431,,,,,,,,281.5,
ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.283,,,1.0,,0.99,,,0.475,CYP450_3a4_inhibitor
nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,346.337,2.2,13.0,0.001,,0.485,,,4.4,CYP450_3a4_substrate
picumast,CC1=C(C(=O)OC2=C1C=CC(=C2)OCCCN3CCN(CC3)CC4=CC=C(C=C4)Cl)C,440.9681,,,,,,,,90.5,
cisapride,CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,465.95,,,,,0.98,,,4.75,
clofibric acid,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,214.6469,,,,,0.49050000000000005,,,,
medigoxin (beta-methyldigoxin),C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)OC,794.9694,,,,,,,,4.0,
pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.7,,,,,0.87,,,,
josamycin,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O,827.999,2.9,,,,,,,,
midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,325.773,2.5,5.5,,42.0,0.97,,,4.2,CYP450_3a4_substrate
danazol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,337.4603,,,,,,,,59.0,
cefoperazone,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,645.6753,,,,,0.9,,,1.5150000000000001,
tolfenamic acid,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O,261.7068,,,,,0.997,,,,
ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.368,,,,,0.155,,,2.1,
antipyrine,CC1=CC(=O)N(N1C)C2=CC=CC=C2,188.229,,,,,,,,39.75,
flunarizine,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,404.501,1.97,1.0,0.1,,0.991,,,301.2,
triazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,343.216,,,,,0.45799999999999996,,,3.8,CYP450_3a4_substrate
gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,446.908,4.15,1.0,4.0,2.15,0.9,,,2910.0,
allopurinol,C1=NNC2=C1C(=O)NC=N2,136.114,,,,,0.02,,,6.15,
lafutidine,C1CCN(CC1)CC2=CC(=NC=C2)OC/C=C\CNC(=O)CS(=O)CC3=CC=CO3,431.554,,,,,,,,7.210000000000001,
alogliptin,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N,339.3969,-0.9,8.5,47.0,1.059,0.2,,,14.0,CYP450_3a4_substrate
vigabatrin,C=CC(CCC(=O)O)N,129.158,,,,,,,,93.6,
levothyroxine (thyroxine),C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,776.855,,2.2,,,,,,,
apremilast,CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,460.5,,,,,0.68,,,10.0,CYP450_3a4_substrate
sacubitrilat,C[C@H](C[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)O)C(=O)O,383.4,,,,,0.97,,,,
nimodipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,418.443,,,,,0.98,,,19.0,CYP450_3a4_substrate
propofol,CC(C)C1=C(C(=CC=C1)C(C)C)O,178.273,,11.0,,,0.9854999999999999,,,16.0,
ramipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,416.515,,,90.0,,0.375,,,23.0,
avatrombopag,C1CCC(CC1)N2CCN(CC2)C3=C(N=C(S3)NC(=O)C4=CC(=C(N=C4)N5CCC(CC5)C(=O)O)Cl)C6=CC(=CS6)Cl,649.6646,,,0.0065,,0.96,0.45,,6.9,CYP450_3a4_substrate
rosuvastatin (acid),CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,481.5,,,,,0.88,,,7.6,CYP450_3a4_substrate
desvenlafaxine (O-desmethylvenlafaxine),CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,263.38,,,,,0.21,,,12.45,CYP450_3a4_substrate
deoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,392.576,,,,,0.98,,,,
vatalanib,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4,346.8195,,,,,,,,51.7,
lesinurad,C1CC1C2=CC=C(C3=CC=CC=C23)N4C(=NN=C4Br)SCC(=O)O,404.28,4.7,,,,0.98,,,6.0,CYP450_2c9_inhibitor
lacosamide,CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,250.3,,,,,0.15,,,2.71,CYP450_3a4_substrate
abiraterone acetate,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,391.6,5.12,5.19,0.001,3.69,,,,,CYP450_3a4_substrate
darolutamide,C[C@@H](CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,398.8521,,,,,0.92,,,116.0,CYP450_3a4_substrate
ibudilast,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,230.3092,,,,43.0,,,,,
nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,232.238,,,,,0.9,,,,
indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,613.798,2.8,,,,0.61,,,9.35,CYP450_3a4_substrate
sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.404,,,,,0.4,,,,
tenapanor,CN1C[C@H](C2=C(C1)C(=CC(=C2)Cl)Cl)C3=CC(=CC=C3)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)C4=CC=CC(=C4)[C@@H]5CN(CC6=C5C=C(C=C6Cl)Cl)C,1145.0614,,,,,0.99,,,,CYP450_3a4_substrate
perindopril,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,368.471,,,,,0.6,,,290.5,
sugammadex,C(CSC[C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)O)O)C(=O)O,2178.01,,,,,,,,88.0,CYP450_3a4_inhibitor
zidebactam,C1C[C@H](CNC1)C(=O)NNC(=O)[C@@H]2CC[C@@H]3CN2C(=O)N3OS(=O)(=O)O,391.4029,,,,,,,,85.95,
doravirine,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F,425.75,3.0,9.47,0.001,25.0,0.76,,,106.0,CYP450_3a4_substrate
imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,589.7,3.5,,0.1,,0.95,,,2.25,CYP450_3a4_substrate
halofantrine,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O,500.429,8.86,,,,,,,0.42,
tipranavir,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4,602.671,6.9,5.96,0.000205,,0.99,,,1.15,CYP450_3a4_substrate
valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,435.525,4.4,1.0,1.0,,0.95,,,0.29,CYP450_3a4_substrate
glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,490.622,,,,,0.995,,,47.8,CYP450_2c9_inhibitor
99mTc-sestamibi,CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.[99Tc+7],,,,,,,,,108.0,
simeprevir,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,749.94,,,,,,,,,CYP450_3a4_substrate
glyburide (glibenclamide),COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,494.009,,,,,0.998,,,0.9,CYP450_3a4_substrate
notoginsenoside R1,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H](CO6)O)O)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C,933.131,,,,,0.462,,,121.8,
evacetrapib,CC1=CC(=C2C(=C1)[C@H](CCCN2CC3CCC(CC3)C(=O)O)N(CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=NN(N=N5)C)C,638.6534,,,,,,0.9,,12.1,
doxorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,543.5,,,,,0.76,,,502.5,CYP450_3a4_substrate
propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,259.347,,,,17.9,,,,10.5,CYP450_2d6_inhibitor
palonosetron,C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,296.412,,,,,0.62,,,160.0,CYP450_3a4_substrate
simvastatin (lactone),CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,418.7,,,,,0.95,,,7.6,CYP450_3a4_substrate
bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,364.42,,,,,0.97,,,136.5,
everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,958.232,,,,0.975,0.74,,,23.299999999999997,CYP450_3a4_substrate
gosogliptin,C1CN(CC1(F)F)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)C4=NC=CC=N4,366.4136,,,,,,,,78.4,
capreomycin,C[C@H]1C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCNC(=N2)N)CNC(=O)C[C@H](CCCN)N.C1CNC(=N[C@H]1[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N2)CNC(=O)C[C@H](CCCN)N)CO)N)N,651.7057,,,,,,,,3.6350000000000002,
bendamustine,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,358.2669,,,,,0.95,,,700.0,CYP450_3a4_inhibitor
pefloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,333.361,,,,,0.25,,,3.6,
cefpirome,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-],514.5848,,,,,0.1,,,65.5,
desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,266.386,,,,,,,,0.7450000000000001,CYP450_2d6_substrate
brexpiprazole,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,433.2,0.3,7.8,,,,,,15.600000000000001,CYP450_3a4_substrate
carebastine,CC(C)(C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)O,499.647,,,,,0.48950000000000005,,,,
