	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
13	0.7395	True	0.9383	True	0.7206	False	0.6413	Substrate	0.9561	Non-inhibitor	1.0	Non-inhibitor	0.8803	Non-inhibitor	0.7602	Non-substrate	0.7872	Non-substrate	0.6911	Non-substrate	0.9046	Non-inhibitor	0.9252	Non-inhibitor	0.9231	Non-inhibitor	0.9025	Non-inhibitor	0.8959	Non-inhibitor	0.9762	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.9598	Non-carcinogens	0.8923	Not ready biodegradable	0.9596	Weak inhibitor	0.9145	Non-inhibitor	DB00121
14	0.964	False	0.9214	True	0.8867	True	0.5169	Non-substrate	0.9881	Non-inhibitor	0.9543	Non-inhibitor	0.7651	Non-inhibitor	0.7719	Non-substrate	0.5882	Non-substrate	0.5505	Non-substrate	0.9193	Non-inhibitor	0.9496	Non-inhibitor	0.9231	Non-inhibitor	0.9497	Non-inhibitor	0.9904	Non-inhibitor	0.9936	Low CYP Inhibitory Promiscuity	0.9387	Non AMES toxic	0.5996	Carcinogens 	0.7211	Ready biodegradable	0.8202	Weak inhibitor	0.8071	Non-inhibitor	DB00122
15	0.8289	True	0.6882	True	0.7316	False	0.5564	Non-substrate	0.9814	Non-inhibitor	0.8803	Non-inhibitor	0.7475	Non-inhibitor	0.7822	Non-substrate	0.6787	Non-substrate	0.8105	Non-substrate	0.8555	Non-inhibitor	0.9071	Non-inhibitor	0.9231	Non-inhibitor	0.7705	Non-inhibitor	0.8925	Non-inhibitor	0.9945	Low CYP Inhibitory Promiscuity	0.7182	AMES toxic	0.9229	Non-carcinogens	0.8394	Ready biodegradable	0.9533	Weak inhibitor	0.9683	Non-inhibitor	DB00125
16	0.6559	True	0.8532	True	0.771	False	0.6077	Non-substrate	0.9097	Non-inhibitor	0.9807	Non-inhibitor	0.9008	Non-inhibitor	0.8133	Non-substrate	0.8696	Non-substrate	0.6361	Non-substrate	0.8958	Non-inhibitor	0.9478	Non-inhibitor	0.9347	Non-inhibitor	0.9383	Non-inhibitor	0.9662	Non-inhibitor	0.9249	Low CYP Inhibitory Promiscuity	0.8941	Non AMES toxic	0.9417	Non-carcinogens	0.9526	Ready biodegradable	0.9676	Weak inhibitor	0.9286	Non-inhibitor	DB00126
17	0.9215	True	0.6345	True	0.7072	True	0.5094	Non-substrate	0.9178	Non-inhibitor	0.6414	Non-inhibitor	0.6066	Non-inhibitor	0.8863	Non-substrate	0.5607	Non-substrate	0.8262	Non-substrate	0.877	Inhibitor	0.9072	Non-inhibitor	0.9502	Non-inhibitor	0.9026	Non-inhibitor	0.9703	Non-inhibitor	0.9386	Low CYP Inhibitory Promiscuity	0.8957	Non AMES toxic	0.6436	Non-carcinogens	0.5525	Ready biodegradable	0.7691	Weak inhibitor	0.7739	Non-inhibitor	DB00127
18	0.5825	False	0.6594	False	0.8271	False	0.7668	Non-substrate	0.9714	Non-inhibitor	0.9916	Non-inhibitor	0.9672	Non-inhibitor	0.856	Non-substrate	0.8541	Non-substrate	0.7916	Non-substrate	0.9605	Non-inhibitor	0.9657	Non-inhibitor	0.9547	Non-inhibitor	0.973	Non-inhibitor	0.9372	Non-inhibitor	1.0	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.8906	Non-carcinogens	0.9088	Ready biodegradable	0.9849	Weak inhibitor	0.9795	Non-inhibitor	DB00128
19	0.8449	True	0.7613	True	0.7431	False	0.6568	Non-substrate	0.9856	Non-inhibitor	0.9681	Non-inhibitor	0.8847	Non-inhibitor	0.8464	Non-substrate	0.7517	Non-substrate	0.8238	Non-substrate	0.9653	Non-inhibitor	0.9639	Non-inhibitor	0.9786	Non-inhibitor	0.9659	Non-inhibitor	0.9327	Non-inhibitor	0.9931	Low CYP Inhibitory Promiscuity	0.8541	AMES toxic	0.8407	Non-carcinogens	0.8711	Ready biodegradable	0.9771	Weak inhibitor	0.9663	Non-inhibitor	DB00129
20	0.5588	False	0.9604	True	0.8957	False	0.7302	Non-substrate	0.964	Non-inhibitor	0.9919	Non-inhibitor	0.961	Non-inhibitor	0.845	Non-substrate	0.8496	Non-substrate	0.7544	Non-substrate	0.9583	Non-inhibitor	0.9741	Non-inhibitor	0.96	Non-inhibitor	0.9761	Non-inhibitor	0.8936	Non-inhibitor	0.9932	Low CYP Inhibitory Promiscuity	0.7849	Non AMES toxic	0.9136	Non-carcinogens	0.8854	Ready biodegradable	0.9953	Weak inhibitor	0.9828	Non-inhibitor	DB00130
21	0.6115	False	0.9402	True	0.7398	False	0.6874	Non-substrate	0.9111	Non-inhibitor	0.9852	Non-inhibitor	0.947	Non-inhibitor	0.848	Non-substrate	0.8331	Non-substrate	0.5462	Non-substrate	0.9078	Non-inhibitor	0.9419	Non-inhibitor	0.921	Non-inhibitor	0.9293	Non-inhibitor	0.9296	Non-inhibitor	0.9633	Low CYP Inhibitory Promiscuity	0.8718	Non AMES toxic	0.9239	Non-carcinogens	0.9793	Not ready biodegradable	0.976	Weak inhibitor	0.8625	Non-inhibitor	DB00131
22	0.9896	True	0.9314	True	0.7735	True	0.6766	Non-substrate	0.9499	Non-inhibitor	0.9025	Non-inhibitor	0.9311	Non-inhibitor	0.7735	Non-substrate	0.9081	Non-substrate	0.6884	Non-substrate	0.6915	Inhibitor	0.8798	Non-inhibitor	0.9631	Non-inhibitor	0.9638	Non-inhibitor	0.9465	Non-inhibitor	0.9426	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.6502	Non-carcinogens	0.7808	Ready biodegradable	0.8818	Weak inhibitor	0.9315	Non-inhibitor	DB00132
23	0.9407	True	0.6529	False	0.7839	False	0.7693	Non-substrate	0.9862	Non-inhibitor	0.9877	Non-inhibitor	0.9436	Non-inhibitor	0.8673	Non-substrate	0.846	Non-substrate	0.8389	Non-substrate	0.9087	Non-inhibitor	0.9512	Non-inhibitor	0.9349	Non-inhibitor	0.945	Non-inhibitor	0.908	Non-inhibitor	0.9914	Low CYP Inhibitory Promiscuity	0.9088	Non AMES toxic	0.82	Non-carcinogens	0.9489	Ready biodegradable	0.9923	Weak inhibitor	0.9811	Non-inhibitor	DB00133
24	0.9797	True	0.8447	True	0.6698	False	0.5351	Non-substrate	0.9802	Non-inhibitor	0.9919	Non-inhibitor	0.8913	Non-inhibitor	0.7875	Non-substrate	0.7323	Non-substrate	0.7008	Non-substrate	0.8295	Non-inhibitor	0.9489	Non-inhibitor	0.9567	Non-inhibitor	0.951	Non-inhibitor	0.9758	Non-inhibitor	0.9938	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.9224	Non-carcinogens	0.5613	Ready biodegradable	0.9725	Weak inhibitor	0.9655	Non-inhibitor	DB00134
25	0.9924	True	0.8524	True	0.7812	True	0.7843	Substrate	0.6065	Non-inhibitor	0.6073	Non-inhibitor	0.8178	Non-inhibitor	0.8367	Non-substrate	0.9022	Non-substrate	0.7506	Substrate	0.9033	Non-inhibitor	0.8354	Non-inhibitor	0.9495	Non-inhibitor	0.7796	Non-inhibitor	0.813	Non-inhibitor	0.6175	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.9274	Non-carcinogens	0.9937	Not ready biodegradable	0.8734	Weak inhibitor	0.8579	Non-inhibitor	DB00136
26	0.9972	True	0.6588	True	0.7904	True	0.5199	Substrate	0.5819	Inhibitor	0.8202	Non-inhibitor	0.876	Non-inhibitor	0.8299	Non-substrate	0.8408	Non-substrate	0.6607	Substrate	0.9079	Non-inhibitor	0.7723	Non-inhibitor	0.9368	Non-inhibitor	0.5225	Inhibitor	0.8808	Non-inhibitor	0.6267	Low CYP Inhibitory Promiscuity	0.8391	Non AMES toxic	0.7489	Non-carcinogens	0.9655	Not ready biodegradable	0.9273	Weak inhibitor	0.8259	Non-inhibitor	DB00137
27	0.7309	True	0.5098	False	0.7541	False	0.606	Non-substrate	0.9749	Non-inhibitor	1.0	Non-inhibitor	0.9521	Non-inhibitor	0.9012	Non-substrate	0.8371	Non-substrate	0.8232	Non-substrate	0.8924	Non-inhibitor	0.8968	Non-inhibitor	0.9149	Non-inhibitor	0.9101	Non-inhibitor	0.6103	Non-inhibitor	0.995	Low CYP Inhibitory Promiscuity	0.5429	Non AMES toxic	0.781	Non-carcinogens	0.628	Ready biodegradable	0.9839	Weak inhibitor	0.9707	Non-inhibitor	DB00138
28	0.668	True	0.869	True	0.648	False	0.7618	Non-substrate	0.9796	Non-inhibitor	0.9701	Non-inhibitor	0.9513	Non-inhibitor	0.8535	Non-substrate	0.9161	Non-substrate	0.7794	Non-substrate	0.8848	Non-inhibitor	0.9759	Non-inhibitor	0.9713	Non-inhibitor	0.9856	Non-inhibitor	0.9679	Non-inhibitor	0.9951	Low CYP Inhibitory Promiscuity	0.9587	Non AMES toxic	0.7929	Non-carcinogens	0.9399	Ready biodegradable	0.9622	Weak inhibitor	0.9771	Non-inhibitor	DB00139
29	0.9156	True	0.8495	False	0.7122	False	0.7414	Substrate	0.8708	Non-inhibitor	0.9466	Non-inhibitor	0.9279	Non-inhibitor	0.7819	Non-substrate	0.8435	Non-substrate	0.522	Non-substrate	0.8531	Inhibitor	0.9071	Non-inhibitor	0.9516	Non-inhibitor	0.7302	Inhibitor	0.8309	Non-inhibitor	0.9203	Low CYP Inhibitory Promiscuity	0.804	Non AMES toxic	0.7954	Non-carcinogens	0.9641	Not ready biodegradable	0.9395	Weak inhibitor	0.5362	Non-inhibitor	DB00140
30	0.7511	True	0.7394	True	0.8423	False	0.7321	Non-substrate	0.8669	Non-inhibitor	0.8873	Non-inhibitor	0.971	Non-inhibitor	0.7733	Non-substrate	0.8286	Non-substrate	0.6654	Non-substrate	0.9215	Non-inhibitor	0.9064	Non-inhibitor	0.9409	Non-inhibitor	0.944	Non-inhibitor	0.9473	Non-inhibitor	0.9766	Low CYP Inhibitory Promiscuity	0.7108	Non AMES toxic	0.9044	Non-carcinogens	0.9048	Ready biodegradable	0.995	Weak inhibitor	0.9616	Non-inhibitor	DB00141
31	0.7892	False	0.6491	True	0.8191	False	0.5706	Non-substrate	0.9195	Non-inhibitor	0.99	Non-inhibitor	0.9445	Non-inhibitor	0.8791	Non-substrate	0.8096	Non-substrate	0.7544	Non-substrate	0.9437	Non-inhibitor	0.9179	Non-inhibitor	0.9502	Non-inhibitor	0.919	Non-inhibitor	0.939	Non-inhibitor	0.9898	Low CYP Inhibitory Promiscuity	0.9107	AMES toxic	0.9224	Non-carcinogens	0.597	Not ready biodegradable	0.9897	Weak inhibitor	0.9476	Non-inhibitor	DB00143
32	0.6612	False	0.5475	True	0.666	False	0.5358	Non-substrate	0.7716	Non-inhibitor	0.9679	Non-inhibitor	0.9512	Non-inhibitor	0.9229	Non-substrate	0.8056	Non-substrate	0.6063	Non-substrate	0.7648	Non-inhibitor	0.8731	Non-inhibitor	0.8662	Non-inhibitor	0.7588	Non-inhibitor	0.7248	Non-inhibitor	0.9716	Low CYP Inhibitory Promiscuity	0.7626	Non AMES toxic	0.7671	Non-carcinogens	0.7036	Not ready biodegradable	0.9279	Weak inhibitor	0.7921	Non-inhibitor	DB00144
33	0.9156	True	0.5728	True	0.7533	False	0.7821	Non-substrate	0.9841	Non-inhibitor	0.9794	Non-inhibitor	0.9436	Non-inhibitor	0.8833	Non-substrate	0.8526	Non-substrate	0.8432	Non-substrate	0.9628	Non-inhibitor	0.9738	Non-inhibitor	0.975	Non-inhibitor	0.973	Non-inhibitor	0.9405	Non-inhibitor	0.9871	Low CYP Inhibitory Promiscuity	0.9133	Non AMES toxic	0.6261	Non-carcinogens	0.9289	Ready biodegradable	0.9611	Weak inhibitor	0.9556	Non-inhibitor	DB00145
34	0.9953	True	0.9164	True	0.8891	True	0.7454	Substrate	0.5209	Inhibitor	0.6087	Inhibitor	0.7849	Non-inhibitor	0.8379	Non-substrate	0.9004	Non-substrate	0.7815	Substrate	0.8874	Non-inhibitor	0.9229	Non-inhibitor	0.9488	Non-inhibitor	0.7885	Non-inhibitor	0.7968	Non-inhibitor	0.56	Low CYP Inhibitory Promiscuity	0.8612	Non AMES toxic	0.917	Non-carcinogens	0.991	Not ready biodegradable	0.8189	Weak inhibitor	0.7589	Non-inhibitor	DB00146
35	0.9937	True	0.6605	True	0.6034	False	0.6664	Non-substrate	0.9793	Non-inhibitor	0.9345	Non-inhibitor	0.8338	Non-inhibitor	0.7017	Non-substrate	0.8006	Non-substrate	0.7247	Non-substrate	0.7841	Non-inhibitor	0.9194	Non-inhibitor	0.9437	Non-inhibitor	0.8778	Non-inhibitor	0.8435	Non-inhibitor	0.7875	Low CYP Inhibitory Promiscuity	0.801	Non AMES toxic	0.9323	Non-carcinogens	0.7562	Ready biodegradable	0.935	Weak inhibitor	0.9528	Non-inhibitor	DB00147
36	0.9605	True	0.6849	True	0.6228	False	0.5275	Non-substrate	0.9704	Non-inhibitor	0.8744	Non-inhibitor	0.8321	Non-inhibitor	0.7916	Non-substrate	0.767	Non-substrate	0.7585	Non-substrate	0.9136	Non-inhibitor	0.9068	Non-inhibitor	0.8954	Non-inhibitor	0.9157	Non-inhibitor	0.9346	Non-inhibitor	0.9969	Low CYP Inhibitory Promiscuity	0.7522	Non AMES toxic	0.8138	Non-carcinogens	0.7859	Not ready biodegradable	0.9653	Weak inhibitor	0.9649	Non-inhibitor	DB00148
37	0.984	True	0.951	True	0.5943	False	0.5988	Non-substrate	0.9951	Non-inhibitor	0.9779	Non-inhibitor	0.8805	Non-inhibitor	0.8463	Non-substrate	0.7897	Non-substrate	0.7841	Non-substrate	0.9531	Non-inhibitor	0.9481	Non-inhibitor	0.9307	Non-inhibitor	0.9644	Non-inhibitor	0.9432	Non-inhibitor	0.9542	Low CYP Inhibitory Promiscuity	0.9284	Non AMES toxic	0.931	Non-carcinogens	0.8348	Not ready biodegradable	0.9864	Weak inhibitor	0.9402	Non-inhibitor	DB00150
38	0.9698	True	0.5918	True	0.721	False	0.8141	Non-substrate	0.984	Non-inhibitor	0.9903	Non-inhibitor	0.9462	Non-inhibitor	0.8473	Non-substrate	0.8141	Non-substrate	0.8245	Non-substrate	0.94	Non-inhibitor	0.9584	Non-inhibitor	0.9665	Non-inhibitor	0.9634	Non-inhibitor	0.9602	Non-inhibitor	0.9888	Low CYP Inhibitory Promiscuity	0.9107	AMES toxic	0.7998	Non-carcinogens	0.7577	Ready biodegradable	0.9891	Weak inhibitor	0.9684	Non-inhibitor	DB00151
39	0.7976	False	0.933	True	0.8867	True	0.5593	Non-substrate	0.9814	Non-inhibitor	0.8504	Non-inhibitor	0.7559	Non-inhibitor	0.842	Non-substrate	0.7591	Non-substrate	0.7256	Non-substrate	0.58	Non-inhibitor	0.7521	Non-inhibitor	0.7523	Non-inhibitor	0.7397	Non-inhibitor	0.8019	Non-inhibitor	0.7795	Low CYP Inhibitory Promiscuity	0.9132	Non AMES toxic	0.8999	Non-carcinogens	0.86	Not ready biodegradable	0.9415	Weak inhibitor	0.6221	Non-inhibitor	DB00152
40	1.0	True	0.9428	True	0.8323	True	0.6628	Substrate	0.7614	Inhibitor	0.8391	Non-inhibitor	0.796	Non-inhibitor	0.8432	Non-substrate	0.9003	Non-substrate	0.7362	Substrate	0.9046	Non-inhibitor	0.8924	Non-inhibitor	0.9519	Non-inhibitor	0.8784	Non-inhibitor	0.8142	Non-inhibitor	0.8163	Low CYP Inhibitory Promiscuity	0.9401	Non AMES toxic	0.9169	Non-carcinogens	0.9742	Not ready biodegradable	0.8502	Weak inhibitor	0.7513	Non-inhibitor	DB00153
41	0.9945	True	0.9539	True	0.8371	True	0.5962	Non-substrate	0.9487	Non-inhibitor	0.8964	Non-inhibitor	0.9272	Non-inhibitor	0.7643	Non-substrate	0.8954	Non-substrate	0.6678	Non-substrate	0.9107	Inhibitor	0.8972	Non-inhibitor	0.9545	Non-inhibitor	0.9467	Non-inhibitor	0.9295	Non-inhibitor	0.9349	Low CYP Inhibitory Promiscuity	0.9674	Non AMES toxic	0.6568	Non-carcinogens	0.811	Ready biodegradable	0.9133	Weak inhibitor	0.9103	Non-inhibitor	DB00154
42	0.6863	True	0.8961	True	0.813	False	0.616	Non-substrate	0.9782	Non-inhibitor	0.982	Non-inhibitor	0.9331	Non-inhibitor	0.7522	Non-substrate	0.7828	Non-substrate	0.8127	Non-substrate	0.9415	Non-inhibitor	0.9149	Non-inhibitor	0.97	Non-inhibitor	0.9018	Non-inhibitor	0.8309	Non-inhibitor	0.9896	Low CYP Inhibitory Promiscuity	0.5916	Non AMES toxic	0.9113	Non-carcinogens	0.9247	Ready biodegradable	0.972	Weak inhibitor	0.9716	Non-inhibitor	DB00155
43	0.939	True	0.6054	False	0.9009	False	0.7827	Non-substrate	0.9851	Non-inhibitor	0.9902	Non-inhibitor	0.9634	Non-inhibitor	0.8233	Non-substrate	0.8832	Non-substrate	0.8021	Non-substrate	0.8694	Non-inhibitor	0.9362	Non-inhibitor	0.9529	Non-inhibitor	0.9119	Non-inhibitor	0.8683	Non-inhibitor	0.9806	Low CYP Inhibitory Promiscuity	0.9538	Non AMES toxic	0.6811	Non-carcinogens	0.844	Ready biodegradable	0.9902	Weak inhibitor	0.9826	Non-inhibitor	DB00156
44	0.6017	False	0.5641	True	0.7045	False	0.601	Substrate	0.7066	Non-inhibitor	0.912	Non-inhibitor	0.9361	Non-inhibitor	0.8412	Non-substrate	0.8303	Non-substrate	0.5242	Substrate	0.7565	Non-inhibitor	0.849	Non-inhibitor	0.8849	Non-inhibitor	0.8294	Non-inhibitor	0.8753	Non-inhibitor	0.8373	Low CYP Inhibitory Promiscuity	0.8146	Non AMES toxic	0.9227	Non-carcinogens	0.9883	Not ready biodegradable	0.9379	Weak inhibitor	0.5992	Non-inhibitor	DB00157
45	0.7956	True	0.7609	True	0.844	False	0.687	Substrate	0.9795	Non-inhibitor	0.9969	Non-inhibitor	0.876	Non-inhibitor	0.8276	Non-substrate	0.7947	Non-substrate	0.6212	Non-substrate	0.9281	Non-inhibitor	0.9071	Non-inhibitor	0.9435	Non-inhibitor	0.916	Non-inhibitor	0.9075	Non-inhibitor	0.974	Low CYP Inhibitory Promiscuity	0.8724	Non AMES toxic	0.9521	Non-carcinogens	0.9191	Not ready biodegradable	0.9529	Weak inhibitor	0.8444	Non-inhibitor	DB00158
