OID,Drug Name,SMILES,molecular_weight,logP,pKa,solubility
38,levothyroxine (thyroxine),C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,776.855 g/mol,,2.2,
39,cicletanine,CC1=NC=C2C(OCC2=C1O)C3=CC=C(C=C3)Cl,261.7068 g/mol,,,
40,roxatidine,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC(=O)CO,306.403 g/mol,,,
41,viloxazine,CCOC1=CC=CC=C1OCC2CNCCO2,237.297 g/mol,,,43
42,tamoxifen,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,371.5 g/mol,7.1,9.24,
43,indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,357.791 g/mol,,,
44,ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,204.312 g/mol,,,
45,zopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,388.8133 g/mol,,,
46,prednisolone,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,360.4 g/mol,,,
47,zolpidem,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,307.395 g/mol,,,
48,fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,306.275 g/mol,,,
49,sulbactam,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,233.2429 g/mol,,,
50,bevantolol,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,345.436 g/mol,,,
51,metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,365.839 g/mol,,,
52,alfentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,416.523 g/mol,,,
53,misoprostol acid,CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,368.51 g/mol,,,
54,ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,554.5872 g/mol,,,
55,sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,267.31 g/mol,,,
56,pirenzepine,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,351.4079 g/mol,,,
57,carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.273 g/mol,,,
58,stiripentol,CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O,234.29 g/mol,,,
59,nicotine,CN1CCC[C@H]1C2=CN=CC=C2,162.2346 g/mol,,,
60,bezafibrate,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,361.823 g/mol,,,
61,ticarcillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CSC=C3)C(=O)O)C(=O)O)C,384.431 g/mol,,,
62,clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,300.7437 g/mol,,,
63,ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.283 g/mol,,,
64,nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,346.337 g/mol,2.2,,0.0055
65,cisapride,CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,465.95 g/mol,,,
66,clofibric acid,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,214.6469 g/mol,,,
67,pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.7 g/mol,,,
68,josamycin,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O,827.999 g/mol,2.9,,
69,midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,325.773 g/mol,2.5,5.5,
70,cefoperazone,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,645.6753 g/mol,,,
71,tolfenamic acid,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O,261.7068 g/mol,,,
72,ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.368 g/mol,,,
73,flunarizine,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,404.501 g/mol,1.97,10,5.5
74,triazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,343.216 g/mol,,,
75,gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,446.908 g/mol,4.15,5.42,
76,allopurinol,C1=NNC2=C1C(=O)NC=N2,136.114 g/mol,,,
77,alogliptin,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N,339.3969 g/mol,-0.9,8.5,19.2
78,vigabatrin,C=CC(CCC(=O)O)N,129.158 g/mol,,,
80,apremilast,CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,460.5 g/mol,,,
81,sacubitrilat,C[C@H](C[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)O)C(=O)O,383.4 g/mol,,,
82,nimodipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,418.443 g/mol,,,
83,propofol,CC(C)C1=C(C(=CC=C1)C(C)C)O,178.273 g/mol,,11,
84,ramipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,416.515 g/mol,,,
85,avatrombopag,C1CCC(CC1)N2CCN(CC2)C3=C(N=C(S3)NC(=O)C4=CC(=C(N=C4)N5CCC(CC5)C(=O)O)Cl)C6=CC(=CS6)Cl,649.6646 g/mol,,,
86,rosuvastatin (acid),CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,481.5 g/mol,,,
87,desvenlafaxine (O-desmethylvenlafaxine),CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,263.38 g/mol,,,
88,deoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,392.576 g/mol,,,
89,lesinurad,C1CC1C2=CC=C(C3=CC=CC=C23)N4C(=NN=C4Br)SCC(=O)O,404.28 g/mol,4.7,,
90,lacosamide,CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,250.30 g/mol,,,
91,abiraterone acetate,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,391.6 g/mol,5.12,5.19,
92,darolutamide,C[C@@H](CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,398.8521 g/mol,,,
93,ibudilast,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,230.3092 g/mol,,,
94,nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,232.238 g/mol,,,
95,indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,613.798 g/mol,2.8,,
96,sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.404 g/mol,,,
97,tenapanor,CN1C[C@H](C2=C(C1)C(=CC(=C2)Cl)Cl)C3=CC(=CC=C3)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)C4=CC=CC(=C4)[C@@H]5CN(CC6=C5C=C(C=C6Cl)Cl)C,1145.0614 g/mol,,,
98,perindopril,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,368.471 g/mol,,,
99,doravirine,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F,425.75 g/mol,3,9.47,0.0055
100,imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,589.7 g/mol,3.5,,21.5
101,halofantrine,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O,500.429 g/mol,8.86,,
102,tipranavir,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4,602.671 g/mol,6.9,,
103,valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,435.525 g/mol,4.4,4,0.55
104,glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,490.622 g/mol,,,
105,simeprevir,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,749.94 g/mol,,,
106,glyburide (glibenclamide),COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,494.009 g/mol,,,
107,notoginsenoside R1,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H](CO6)O)O)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C,933.131 g/mol,,,
108,evacetrapib,CC1=CC(=C2C(=C1)[C@H](CCCN2CC3CCC(CC3)C(=O)O)N(CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=NN(N=N5)C)C,638.6534 g/mol,,,
109,doxorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,543.5 g/mol,,,
110,propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,259.347 g/mol,,,
111,palonosetron,C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5,296.412 g/mol,,,
112,simvastatin (lactone),CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,418.7 g/mol,,,
113,bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,364.42 g/mol,,,
114,everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,958.232 g/mol,,,
115,bendamustine,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,358.2669 g/mol,,,
116,pefloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,333.361 g/mol,,,
117,cefpirome,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-],514.5848 g/mol,,,
118,brexpiprazole,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,433.2 g/mol,,7.8,
119,carebastine,CC(C)(C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)O,499.647 g/mol,,,
120,semaglutide,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@H](C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC6=CN=CN6)N,4113.6119 g/mol,,,
121,gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,250.336 g/mol,,4.7,
122,vemurafenib,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,489.93 g/mol,3,7.9,0.0055
124,falnidamol,CN1CCC(CC1)NC2=NC=C3C(=N2)C(=NC=N3)NC4=CC(=C(C=C4)F)Cl,387.8481 g/mol,1.83,2.83,
125,lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,321.162 g/mol,,,
126,fexofenadine (terfenadine carboxylate),CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,501.663 g/mol,,,
127,sitagliptin,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,523.32 g/mol,,,
128,N-desethylsunitinib (SU12662),CCNCCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,370.4 g/mol,,,
129,nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,479.53 g/mol,3.82,,
130,melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.2814 g/mol,0.8,16.51,
131,brotizolam,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,393.695 g/mol,,,
132,ciclesonide,CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6,540.7 g/mol,,,
133,gliclazide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,323.4149 g/mol,,5.8,
135,dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,248.305 g/mol,,,
136,desmethylselegiline,C[C@H](CC1=CC=CC=C1)NCC#C,173.2575 g/mol,2.46,9.8,
137,saxagliptin,C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N,333.43 g/mol,,,
138,acetaminophen (paracetamol),CC(=O)NC1=CC=C(C=C1)O,151.16 g/mol,,,
139,naratriptan,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,335.47 g/mol,,,
140,chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,,,,
141,miltefosine,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.571 g/mol,,,
142,naphthoquine,CC(C)(C)NCC1=CC(=C2CCCCC2=C1O)NC3=C4C=CC(=CC4=NC=C3)Cl,409.9582 g/mol,6.08,,
143,dofetilide,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,441.57 g/mol,0.93,7.89,
144,daclatasvir,CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,738.885 g/mol,,,
145,cefepime,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],480.5676 g/mol,,,
146,doripenem,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@@H](C)O,420.50 g/mol,,,
147,contezolid,C1CN(C=CC1=O)C2=C(C=C(C(=C2F)F)N3C[C@@H](OC3=O)CNC4=NOC=C4)F,408.3345 g/mol,,,
148,BMS-690514,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CC[C@H]([C@@H](C4)O)N,368.4386 g/mol,1.53,4.3,
149,trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,693.53 g/mol,4.99,0.25,
151,tepotinib,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,492.5802 g/mol,,9.5,0.55
152,ampicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,371.39 g/mol,,,
153,fruquintinib,CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,393.39 g/mol,4.26,2.78,0.0007
154,pravastatin (acid),CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,424.53 g/mol,1.6,4.2,21.5
155,tovorafenib,C[C@H](C1=NC=C(S1)C(=O)NC2=NC=C(C(=C2)C(F)(F)F)Cl)NC(=O)C3=C(C(=NC=N3)N)Cl,506.285 g/mol,3.63,10.29],
156,meropenem,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,437.52 g/mol,,,
157,zidovudine,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],267.244 g/mol,,,
158,lusutrombopag,CCCCCCO[C@@H](C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)/C=C(\C)/C(=O)O)Cl,591.5 g/mol,,,
159,fasiglifam,CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC4=C(C=C3)[C@@H](CO4)CC(=O)O)C)OCCCS(=O)(=O)C,524.6 g/mol,,,
160,irosustat,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,309.3405 g/mol,,,
162,lenabasum (ajulemic acid),CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=CC[C@H]3C(OC2=C1)(C)C)C(=O)O)O,400.5554 g/mol,1.84,5.13,
164,oxymorphone,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,337.80 g/mol,,,
165,agomelatine,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,243.304 g/mol,,,
166,enoximone,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,248.305 g/mol,,,
167,doxepin,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31,279.4 g/mol,,8.96,0.934
168,captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,217.288 g/mol,,,
169,bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,654.602 g/mol,,,
171,nortriptyline,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,263.382 g/mol,,9.7,
